"dates","ur"
"January 2010","9.8"
"February 2010","9.8"
"March 2010","9.9"
"April 2010","9.9"
"May 2010","9.6"
"June 2010","9.4"
"July 2010","9.4"
"August 2010","9.5"
"September 2010","9.5"
"October 2010","9.4"
"November 2010","9.8"
"December 2010","9.3"
"January 2011","9.1"
"February 2011","9"
"March 2011","9"
"April 2011","9.1"
"May 2011","9"
"June 2011","9.1"
"July 2011","9"
"August 2011","9"
"September 2011","9"
"October 2011","8.8"
"November 2011","8.6"
"December 2011","8.5"
"January 2012","8.3"
"February 2012","8.3"
"March 2012","8.2"
"April 2012","8.2"
"May 2012","8.2"
"June 2012","8.2"
"July 2012","8.2"
"August 2012","8.1"
"September 2012","7.8"
"October 2012","7.8"
"November 2012","7.7"
"December 2012","7.9"
"January 2013","8"
"February 2013","7.7"
"March 2013","7.5"
"April 2013","7.6"
"May 2013","7.5"
"June 2013","7.5"
"July 2013","7.3"
"August 2013","7.2"
"September 2013","7.2"
"October 2013","7.2"
"November 2013","6.9"
"December 2013","6.7"
"January 2014","6.6"
"February 2014","6.7"
"March 2014","6.7"
"April 2014","6.2"
"May 2014","6.3"
"June 2014","6.1"
"July 2014","6.2"
"August 2014","6.1"
"September 2014","5.9"
"October 2014","5.7"
"November 2014","5.8"
"December 2014","5.6"
"January 2015","5.7"
"February 2015","5.5"
"March 2015","5.4"
"April 2015","5.4"
"May 2015","5.6"
"June 2015","5.3"
"July 2015","5.2"
"August 2015","5.1"
"September 2015","5"
"October 2015","5"
"November 2015","5.1"
"December 2015","5"
"January 2016","4.9"
"February 2016","4.9"
"March 2016","5"
"April 2016","5"
"May 2016","4.8"
"June 2016","4.9"
"July 2016","4.8"
"August 2016","4.9"
"September 2016","5"
"October 2016","4.9"
"November 2016","4.7"
"December 2016","4.7"
"January 2017","4.7"
"February 2017","4.6"
"March 2017","4.4"
"April 2017","4.4"
"May 2017","4.4"
"June 2017","4.3"
"July 2017","4.3"
"August 2017","4.4"
"September 2017","4.2"
"October 2017","4.1"
"November 2017","4.2"
"December 2017","4.1"
"January 2018","4.1"
"February 2018","4.1"
"March 2018","4"
"April 2018","4"
"May 2018","3.8"
"June 2018","4"
"July 2018","3.8"
"August 2018","3.8"
"September 2018","3.7"
"October 2018","3.8"
"November 2018","3.7"
"December 2018","3.9"
"January 2019","4"
"February 2019","3.8"
"March 2019","3.8"
"April 2019","3.6"
"May 2019","3.6"
"June 2019","3.7"
"July 2019","3.7"
"August 2019","3.7"
"September 2019","3.5"
"October 2019","3.6"
"November 2019","3.5"
"December 2019","3.5"
"January 2020","3.6"
"February 2020","3.5"
"March 2020","4.4"
"April 2020","14.7"
"May 2020","13.3"
"June 2020","11.1"
"July 2020","10.2"
"August 2020","8.4"
"September 2020",NA
"October 2020",NA
"November 2020",NA
"December 2020",NA
